city_name,country_code,latitude,longitude,station_distance_km,years_analyzed,first_year,last_year,temp_trend_per_year,temp_trend_per_decade,ols_trend_per_decade,r_squared,t_statistic,p_value,significant_05,temp_2000_2009,temp_2015_2024,mean_temp_all_years,temp_std_dev
Stykkishólmur,IS,65.075,-22.73,0.233,25,2000,2024,-0.02335416666666662,-0.2335416666666662,-0.24289230769230755,0.12312167545815378,-1.7970555783831732,0.08547177818208351,False,5.0606,4.6855,4.92424,0.5094628936438844
Tafunsak,FM,5.367,162.985,3.817,20,2000,2024,-0.021433035714285613,-0.21433035714285614,-0.08434883720930214,0.016393909985068178,-0.5477304951126452,0.5906050746914278,False,27.2178,27.202499999999997,27.21015,0.5428200511170683
Tagbilaran City,PH,9.656,123.852,0.943,22,2002,2024,-0.025384615384615526,-0.2538461538461553,-0.26436385493888986,0.23190189176440157,-2.4573034807100385,0.023254149451621853,True,28.222,27.75177777777778,28.029318181818187,0.3608716149973868
Thiruvananthapuram,IN,8.486,76.949,0.29,24,2000,2024,0.05257142857142862,0.5257142857142862,0.5149741451209348,0.7860119556435785,8.989409436988122,8.082766456141144e-09,True,27.767222222222227,28.599400000000003,28.199125,0.42803660068005817
Tāfuna,AS,-14.336,-170.72,0.903,25,2000,2024,-0.01320995670995666,-0.1320995670995666,-0.1277076923076923,0.09025776389711582,-1.5105914559589704,0.1445103356784958,False,28.110899999999997,27.8684,27.914680000000004,0.3128533628821441
Upernavik,GL,72.784,-56.149,0.537,20,2001,2024,-0.010272727272727272,-0.10272727272727272,-0.1099091930350121,0.008427782491176927,-0.39113865395886543,0.7002859898844642,False,-4.951,-4.942666666666667,-4.811250000000001,0.8976909487533469
Utqiagvik,US,71.291,-156.789,1.806,25,2000,2024,0.13143333333333324,1.3143333333333325,1.3963230769230766,0.5511241584716312,5.31404865177418,2.147651248884941e-05,True,-10.535700000000002,-8.2988,-9.497480000000001,1.3842905258651452
Vardø,NO,70.37,31.111,0.556,25,2000,2024,0.009318750000000004,0.09318750000000003,0.11359999999999994,0.02896958344039402,0.828359059306859,0.4159806585753416,False,2.7893,2.9513999999999996,2.8729999999999993,0.4912168563882962
Verkhoyansk,RU,67.554,133.39,1.492,24,2000,2024,0.039952380952380975,0.3995238095238097,0.5290810289389068,0.1580417527645478,2.032132312541584,0.054387550320942335,False,-13.8269,-13.097400000000002,-13.382958333333333,0.9989573033120985
Weno,FM,7.446,151.841,2.443,25,2000,2024,0.04205555555555589,0.4205555555555589,0.4121538461538459,0.6481072354399433,6.508519110557296,1.2168839587101132e-06,True,27.674,28.3222,28.013080000000006,0.37679226372100577
Yeppoon,AU,-23.127,150.744,1.257,25,2000,2024,0.03594444444444456,0.35944444444444557,0.3419846153846152,0.34410268046353365,3.4736816767647425,0.0020556994015299423,True,22.150299999999994,22.703699999999998,22.33212,0.42907044099230773
Zhigansk,RU,66.768,123.377,1.038,25,2000,2024,0.04926071428571427,0.4926071428571427,0.5575076923076919,0.17663032904744624,2.2212586099154135,0.036458601352294284,True,-10.917399999999999,-10.026499999999999,-10.36696,0.9763022277962904
Zyryanka,RU,65.735,150.894,0.661,24,2000,2024,0.020808270676691717,0.20808270676691717,0.2888578778135047,0.07343032250620918,1.3204136839551193,0.20026996420998033,False,-9.7606,-9.293000000000001,-9.521916666666668,0.8001237359019062
